"CV","Default Value","Value"
1, 12, 12
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 9, 9
8, 36, 36
9, 0, 0
10, 0, 0
11, 0, 0
12, 0, 0
13, 255, 255
14, 0, 0
15, 0, 0
16, 1, 1
17, 230, 230
18, 252, 252
19, 0, 0
20, 0, 0
21, 0, 0
22, 0, 0
23, 0, 0
24, 0, 0
25, 0, 0
26, 0, 0
27, 0, 0
28, 0, 0
29, 6, 6
30, 0, 0
31, 0, 0
32, 0, 0
33, 1, 1
34, 2, 2
35, 4, 4
36, 8, 8
37, 0, 0
38, 0, 0
39, 16, 16
40, 32, 32
41, 0, 0
42, 0, 0
43, 64, 64
44, 128, 128
45, 0, 0
46, 0, 0
47, 0, 0
48, 0, 0
49, 0, 0
50, 16, 16
51, 32, 32
52, 32, 32
53, 32, 32
54, 32, 32
55, 0, 0
56, 0, 0
57, 0, 0
58, 0, 0
59, 0, 0
60, 80, 80
61, 1, 1
62, 32, 32
63, 64, 64
64, 4, 4
65, 0, 0
66, 0, 0
67, 1, 1
68, 10, 10
69, 19, 19
70, 29, 29
71, 38, 38
72, 48, 48
73, 57, 57
74, 66, 66
75, 76, 76
76, 85, 85
77, 95, 95
78, 104, 104
79, 113, 113
80, 123, 123
81, 132, 132
82, 142, 142
83, 151, 151
84, 160, 160
85, 170, 170
86, 179, 179
87, 189, 189
88, 198, 198
89, 207, 207
90, 217, 217
91, 226, 226
92, 236, 236
93, 245, 245
94, 254, 254
95, 0, 0
96, 0, 0
97, 0, 0
98, 0, 0
99, 0, 0
100, 0, 0
101, 0, 0
102, 0, 0
103, 0, 0
104, 0, 0
105, 0, 0
106, 0, 0
107, 0, 0
108, 0, 0
109, 0, 0
110, 0, 0
111, 0, 0
112, 1, 1
113, 9, 9
114, 1, 1
115, 6, 6
116, 22, 22
117, 3, 3
118, 1, 1
119, 5, 5
120, 1, 1
121, 15, 15
122, 25, 25
123, 32, 32
124, 8, 8
125, 0, 0
126, 0, 0
127, 0, 0
128, 0, 0
129, 0, 0
130, 0, 0
131, 0, 0
132, 0, 0
133, 0, 0
134, 0, 0
135, 32, 32
136, 0, 0
137, 128, 128
138, 16, 16
139, 128, 128
140, 200, 200
141, 20, 20
142, 124, 124
143, 4, 4
144, 144, 144
145, 48, 48
146, 200, 200
147, 20, 20
148, 50, 50
149, 118, 118
150, 6, 6
151, 16, 16
152, 16, 16
153, 6, 6
154, 6, 6
155, 6, 6
156, 0, 0
157, 0, 0
158, 0, 0
159, 0, 0
160, 0, 0
161, 0, 0
162, 0, 0
163, 0, 0
164, 0, 0
165, 0, 0
166, 0, 0
167, 0, 0
168, 0, 0
169, 0, 0
170, 0, 0
171, 0, 0
172, 0, 0
173, 0, 0
174, 0, 0
175, 0, 0
176, 0, 0
177, 0, 0
178, 0, 0
179, 0, 0
180, 0, 0
181, 0, 0
182, 0, 0
183, 0, 0
184, 0, 0
185, 0, 0
186, 0, 0
187, 0, 0
188, 0, 0
189, 0, 0
190, 0, 0
191, 0, 0
192, 0, 0
193, 0, 0
194, 0, 0
195, 0, 0
196, 0, 0
197, 0, 0
198, 0, 0
199, 0, 0
200, 0, 0
201, 0, 0
202, 0, 0
203, 0, 0
204, 0, 0
205, 0, 0
206, 0, 0
207, 0, 0
208, 0, 0
209, 0, 0
210, 0, 0
211, 0, 0
212, 0, 0
213, 0, 0
214, 0, 0
215, 0, 0
216, 0, 0
217, 0, 0
218, 0, 0
219, 0, 0
220, 0, 0
221, 0, 0
222, 0, 0
223, 0, 0
224, 0, 0
225, 0, 0
226, 0, 0
227, 0, 0
228, 0, 0
229, 0, 0
230, 0, 0
231, 0, 0
232, 0, 0
233, 0, 0
234, 0, 0
235, 0, 0
236, 0, 0
237, 0, 0
238, 0, 0
239, 0, 0
240, 0, 0
241, 0, 0
242, 0, 0
243, 0, 0
244, 0, 0
245, 0, 0
246, 0, 0
247, 0, 0
248, 0, 0
249, 0, 0
250, 0, 0
251, 0, 0
252, 0, 0
253, 0, 0
254, 0, 0
255, 0, 0
256, 165, 165
