"CV","Default Value","Value"
1, 11, 11
2, 7, 7
3, 0, 0
4, 0, 0
5, 150, 150
6, 0, 0
7, 255, 255
8, 151, 151
9, 40, 40
10, 0, 0
11, 0, 0
12, 0, 0
13, 1, 1
14, 1, 1
15, 0, 0
16, 0, 0
17, 207, 207
18, 167, 167
19, 0, 0
20, 0, 0
21, 0, 0
22, 0, 0
23, 0, 0
24, 0, 0
25, 0, 0
26, 0, 0
27, 0, 0
28, 131, 131
29, 22, 22
30, 0, 0
31, 0, 0
32, 255, 255
33, 0, 0
34, 0, 0
35, 0, 0
36, 0, 0
37, 0, 0
38, 0, 0
39, 0, 0
40, 0, 0
41, 0, 0
42, 0, 0
43, 0, 0
44, 0, 0
45, 0, 0
46, 0, 0
47, 3, 3
48, 0, 0
49, 1, 1
50, 2, 2
51, 10, 10
52, 10, 10
53, 140, 140
54, 48, 48
55, 10, 10
56, 255, 255
57, 30, 30
58, 20, 20
59, 0, 0
60, 0, 0
61, 0, 0
62, 0, 0
63, 192, 192
64, 12, 12
65, 6, 6
66, 0, 0
67, 1, 1
68, 9, 9
69, 18, 18
70, 28, 28
71, 37, 37
72, 47, 47
73, 56, 56
74, 66, 66
75, 75, 75
76, 86, 86
77, 94, 94
78, 103, 103
79, 113, 113
80, 122, 122
81, 132, 132
82, 141, 141
83, 151, 151
84, 160, 160
85, 171, 171
86, 179, 179
87, 188, 188
88, 198, 198
89, 207, 207
90, 217, 217
91, 226, 226
92, 236, 236
93, 245, 245
94, 255, 255
95, 0, 0
96, 0, 0
97, 0, 0
98, 0, 0
99, 0, 0
100, 0, 0
101, 64, 64
102, 12, 12
103, 96, 96
104, 255, 255
105, 0, 0
106, 0, 0
107, 0, 0
108, 0, 0
109, 0, 0
110, 0, 0
111, 0, 0
112, 43, 43
113, 40, 40
114, 0, 0
115, 0, 0
116, 50, 50
117, 150, 150
118, 15, 15
119, 20, 20
120, 0, 0
121, 0, 0
122, 0, 0
123, 100, 100
124, 52, 52
125, 85, 85
126, 130, 130
127, 90, 90
128, 130, 130
129, 15, 15
130, 5, 5
131, 0, 0
132, 79, 79
133, 0, 0
134, 30, 30
135, 3, 3
136, 0, 0
137, 0, 0
138, 128, 128
139, 128, 128
140, 0, 0
141, 0, 0
142, 0, 0
143, 0, 0
144, 150, 150
145, 0, 0
146, 0, 0
147, 0, 0
148, 0, 0
149, 0, 0
150, 42, 42
151, 85, 85
152, 127, 127
153, 170, 170
154, 212, 212
155, 0, 0
156, 0, 0
157, 0, 0
158, 0, 0
159, 0, 0
160, 0, 0
161, 0, 0
162, 0, 0
163, 0, 0
164, 0, 0
165, 0, 0
166, 0, 0
167, 0, 0
168, 0, 0
169, 0, 0
170, 0, 0
171, 0, 0
172, 0, 0
173, 0, 0
174, 0, 0
175, 0, 0
176, 0, 0
177, 0, 0
178, 0, 0
179, 64, 64
180, 40, 40
181, 40, 40
182, 0, 0
183, 126, 126
184, 126, 126
185, 0, 0
186, 0, 0
187, 0, 0
188, 0, 0
189, 0, 0
190, 0, 0
191, 0, 0
192, 0, 0
193, 0, 0
194, 0, 0
195, 0, 0
196, 0, 0
197, 0, 0
198, 0, 0
199, 0, 0
200, 0, 0
201, 0, 0
202, 0, 0
203, 0, 0
204, 0, 0
205, 0, 0
206, 0, 0
207, 0, 0
208, 0, 0
209, 0, 0
210, 0, 0
211, 0, 0
212, 0, 0
213, 0, 0
214, 0, 0
215, 0, 0
216, 0, 0
217, 0, 0
218, 0, 0
219, 0, 0
220, 0, 0
221, 0, 0
222, 0, 0
223, 0, 0
224, 0, 0
225, 0, 0
226, 0, 0
227, 0, 0
228, 0, 0
229, 0, 0
230, 0, 0
231, 0, 0
232, 0, 0
233, 0, 0
234, 0, 0
235, 0, 0
236, 0, 0
237, 0, 0
238, 0, 0
239, 0, 0
240, 0, 0
241, 0, 0
242, 0, 0
243, 0, 0
244, 0, 0
245, 0, 0
246, 1, 1
247, 244, 244
248, 122, 122
249, 0, 0
250, 0, 0
251, 0, 0
252, 0, 0
253, 0, 0
254, 0, 0
255, 0, 0
256, 0, 0
