"CV","Default Value","Value"
1, 3, 3
2, 2, 2
3, 50, 50
4, 90, 90
5, 255, 255
6, 88, 88
7, 255, 255
8, 151, 151
9, 49, 49
10, 0, 0
11, 0, 0
12, 0, 0
13, 1, 1
14, 1, 1
15, 0, 0
16, 0, 0
17, 192, 192
18, 128, 128
19, 0, 0
20, 0, 0
21, 0, 0
22, 0, 0
23, 0, 0
24, 0, 0
25, 0, 0
26, 0, 0
27, 0, 0
28, 131, 131
29, 14, 14
30, 0, 0
31, 16, 16
32, 0, 0
33, 0, 0
34, 0, 0
35, 0, 0
36, 0, 0
37, 0, 0
38, 0, 0
39, 0, 0
40, 0, 0
41, 0, 0
42, 0, 0
43, 0, 0
44, 0, 0
45, 0, 0
46, 0, 0
47, 1, 1
48, 0, 0
49, 1, 1
50, 2, 2
51, 30, 30
52, 15, 15
53, 115, 115
54, 19, 19
55, 255, 255
56, 200, 200
57, 0, 0
58, 0, 0
59, 0, 0
60, 0, 0
61, 0, 0
62, 0, 0
63, 32, 32
64, 20, 20
65, 1, 1
66, 0, 0
67, 1, 1
68, 2, 2
69, 4, 4
70, 7, 7
71, 10, 10
72, 14, 14
73, 18, 18
74, 23, 23
75, 28, 28
76, 34, 34
77, 40, 40
78, 47, 47
79, 54, 54
80, 62, 62
81, 70, 70
82, 79, 79
83, 88, 88
84, 98, 98
85, 108, 108
86, 120, 120
87, 133, 133
88, 147, 147
89, 162, 162
90, 178, 178
91, 195, 195
92, 213, 213
93, 233, 233
94, 255, 255
95, 0, 0
96, 0, 0
97, 0, 0
98, 0, 0
99, 0, 0
100, 0, 0
101, 64, 64
102, 12, 12
103, 0, 0
104, 172, 172
105, 0, 0
106, 0, 0
107, 0, 0
108, 0, 0
109, 0, 0
110, 0, 0
111, 0, 0
112, 39, 39
113, 127, 127
114, 0, 0
115, 0, 0
116, 100, 100
117, 150, 150
118, 25, 25
119, 25, 25
120, 0, 0
121, 0, 0
122, 0, 0
123, 100, 100
124, 20, 20
125, 85, 85
126, 170, 170
127, 0, 0
128, 0, 0
129, 15, 15
130, 5, 5
131, 0, 0
132, 80, 80
133, 0, 0
134, 10, 10
135, 8, 8
136, 0, 0
137, 0, 0
138, 128, 128
139, 128, 128
140, 255, 255
141, 25, 25
142, 125, 125
143, 100, 100
144, 150, 150
145, 0, 0
146, 0, 0
147, 0, 0
148, 0, 0
149, 0, 0
150, 42, 42
151, 85, 85
152, 127, 127
153, 170, 170
154, 212, 212
155, 1, 1
156, 21, 21
157, 41, 41
158, 61, 61
159, 81, 81
160, 101, 101
161, 121, 121
162, 141, 141
163, 0, 0
164, 0, 0
165, 1, 1
166, 0, 0
167, 0, 0
168, 2, 2
169, 0, 0
170, 1, 1
171, 0, 0
172, 0, 0
173, 0, 0
174, 0, 0
175, 0, 0
176, 0, 0
177, 0, 0
178, 0, 0
179, 153, 153
180, 0, 0
181, 0, 0
182, 0, 0
183, 0, 0
184, 0, 0
185, 0, 0
186, 0, 0
187, 0, 0
188, 0, 0
189, 0, 0
190, 0, 0
191, 0, 0
192, 0, 0
193, 0, 0
194, 0, 0
195, 0, 0
196, 0, 0
197, 0, 0
198, 0, 0
199, 0, 0
200, 0, 0
201, 0, 0
202, 0, 0
203, 0, 0
204, 0, 0
205, 0, 0
206, 0, 0
207, 0, 0
208, 0, 0
209, 0, 0
210, 0, 0
211, 0, 0
212, 0, 0
213, 0, 0
214, 0, 0
215, 0, 0
216, 0, 0
217, 0, 0
218, 0, 0
219, 0, 0
220, 0, 0
221, 0, 0
222, 0, 0
223, 0, 0
224, 0, 0
225, 0, 0
226, 0, 0
227, 0, 0
228, 0, 0
229, 0, 0
230, 0, 0
231, 0, 0
232, 0, 0
233, 0, 0
234, 0, 0
235, 0, 0
236, 0, 0
237, 0, 0
238, 0, 0
239, 0, 0
240, 0, 0
241, 0, 0
242, 0, 0
243, 0, 0
244, 0, 0
245, 122, 122
246, 1, 1
247, 244, 244
248, 122, 122
249, 0, 0
250, 0, 0
251, 0, 0
252, 0, 0
253, 0, 0
254, 0, 0
255, 0, 0
256, 0, 0
